Time,Amount,Balance,"Balance, USD",Price
2018-10-20 11:17:19+00:00,2000.0,"53,017.06877392 BTC","$346,579,873 @ $6,537.14",6537.14
2018-10-20 08:42:17+00:00,38888.0,"51,017.06877392 BTC","$333,216,653 @ $6,531.47",6531.47
2018-10-20 06:47:30+00:00,2000.0,"12,129.06877392 BTC","$79,292,771 @ $6,537.42",6537.42
2018-10-20 06:34:03+00:00,8888.0,"10,129.06877392 BTC","$66,217,939 @ $6,537.42",6537.42
2018-10-19 13:00:05+00:00,10.65713276,"1,241.06877392 BTC","$8,080,802 @ $6,511.16",6511.16
2018-10-19 12:33:02+00:00,40.65777317,"1,230.41164116 BTC","$8,011,412 @ $6,511.16",6511.16
2018-10-19 12:17:20+00:00,90.43714056,"1,189.75386799 BTC","$7,746,682 @ $6,511.16",6511.16
2018-10-19 09:08:51+00:00,56.04482011,"1,099.31672743 BTC","$7,172,416 @ $6,524.43",6524.43
2018-10-19 08:41:16+00:00,1.01810102,"1,043.27190732 BTC","$6,800,131 @ $6,518.08",6518.08
2018-10-19 08:11:55+00:00,20.25883841,"1,042.2538063 BTC","$6,793,495 @ $6,518.08",6518.08
